ImgPath,category,occasion,occasion_confidence
../data/retailer_test_sets/bluebungalow_2k_single_image/womens-dresses_prod_2_0.jpg,womens-dresses,Casual,TensorBase(0.9995)
../data/retailer_test_sets/bluebungalow_2k_single_image/womens-jumpers_prod_4_0.jpg,womens-jumpers,Casual,TensorBase(0.9986)
../data/retailer_test_sets/bluebungalow_2k_single_image/womens-blouse_prod_5_0.jpg,womens-blouse,Casual,TensorBase(0.9998)
../data/retailer_test_sets/bluebungalow_2k_single_image/womens-blouse_prod_6_0.jpg,womens-blouse,Casual,TensorBase(0.9954)
../data/retailer_test_sets/bluebungalow_2k_single_image/womens-dresses_prod_7_0.jpg,womens-dresses,Casual,TensorBase(0.9999)
../data/retailer_test_sets/bluebungalow_2k_single_image/womens-dresses_prod_9_0.jpg,womens-dresses,Casual,TensorBase(0.9999)
../data/retailer_test_sets/bluebungalow_2k_single_image/womens-regular-pants_prod_10_0.jpg,womens-regular-pants,Casual,TensorBase(0.9337)
../data/retailer_test_sets/bluebungalow_2k_single_image/womens-blouse_prod_11_0.jpg,womens-blouse,Casual,TensorBase(0.9958)
../data/retailer_test_sets/bluebungalow_2k_single_image/womens-dresses_prod_12_0.jpg,womens-dresses,Casual,TensorBase(0.9967)
../data/retailer_test_sets/bluebungalow_2k_single_image/womens-dresses_prod_13_0.jpg,womens-dresses,Casual,TensorBase(0.9726)
../data/retailer_test_sets/bluebungalow_2k_single_image/womens-shorts_prod_14_0.jpg,womens-shorts,Casual,TensorBase(0.9996)
../data/retailer_test_sets/bluebungalow_2k_single_image/womens-skirts_prod_15_0.jpg,womens-skirts,Casual,TensorBase(0.9795)
../data/retailer_test_sets/bluebungalow_2k_single_image/womens-dresses_prod_17_0.jpg,womens-dresses,Casual,TensorBase(0.9982)
../data/retailer_test_sets/bluebungalow_2k_single_image/womens-dresses_prod_18_0.jpg,womens-dresses,Casual,TensorBase(0.9991)
../data/retailer_test_sets/bluebungalow_2k_single_image/womens-dresses_prod_19_0.jpg,womens-dresses,Casual,TensorBase(0.9994)
../data/retailer_test_sets/bluebungalow_2k_single_image/womens-dresses_prod_21_0.jpg,womens-dresses,Casual,TensorBase(0.9961)
../data/retailer_test_sets/bluebungalow_2k_single_image/womens-dresses_prod_22_0.jpg,womens-dresses,Casual,TensorBase(0.9995)
../data/retailer_test_sets/bluebungalow_2k_single_image/womens-skirts_prod_26_0.jpg,womens-skirts,Casual,TensorBase(0.9999)
../data/retailer_test_sets/bluebungalow_2k_single_image/womens-blouse_prod_28_0.jpg,womens-blouse,Casual,TensorBase(0.9936)
../data/retailer_test_sets/bluebungalow_2k_single_image/sneakers_prod_29_0.jpg,sneakers,Casual,TensorBase(0.9926)
../data/retailer_test_sets/bluebungalow_2k_single_image/womens-blouse_prod_30_0.jpg,womens-blouse,Casual,TensorBase(0.9996)
../data/retailer_test_sets/bluebungalow_2k_single_image/womens-regular-pants_prod_35_0.jpg,womens-regular-pants,Casual,TensorBase(0.9994)
../data/retailer_test_sets/bluebungalow_2k_single_image/womens-blouse_prod_36_0.jpg,womens-blouse,Casual,TensorBase(0.9999)
../data/retailer_test_sets/bluebungalow_2k_single_image/womens-blouse_prod_38_0.jpg,womens-blouse,Casual,TensorBase(0.8279)
../data/retailer_test_sets/bluebungalow_2k_single_image/womens-skirts_prod_39_0.jpg,womens-skirts,Casual,TensorBase(0.9627)
../data/retailer_test_sets/bluebungalow_2k_single_image/womens-dresses_prod_41_0.jpg,womens-dresses,Casual,TensorBase(0.9930)
../data/retailer_test_sets/bluebungalow_2k_single_image/womens-dresses_prod_42_0.jpg,womens-dresses,Casual,TensorBase(0.9993)
../data/retailer_test_sets/bluebungalow_2k_single_image/womens-regular-pants_prod_43_0.jpg,womens-regular-pants,Casual,TensorBase(0.9979)
